Nodes,Potatos,Tomatos,Onions,Beans,Cabbage,Banana,Wheat,Mango,Paddy
a,0,0,0,0,0,4900,0,0,0
b,0,0,0,0,0,8000,0,0,0
c,6000,0,0,0,0,0,0,0,0
d,0,0,5000,0,0,0,0,0,0
e,0,0,0,0,8500,0,0,0,0
f,0,0,0,0,0,0,0,3000,0
g,0,0,0,4500,0,0,0,0,0
h,0,0,0,0,0,0,0,9000,0
i,0,0,0,0,0,0,5600,0,0
j,0,6000,0,0,0,0,0,0,0
k,0,0,0,0,0,4600,0,0,0
l,0,0,8000,0,0,0,0,0,0
m,0,6000,0,0,0,0,0,0,0
n,0,0,0,0,0,0,3600,0,0
o,3600,0,0,0,0,0,0,0,0
p,0,2000,0,0,0,0,0,0,0
q,0,0,0,0,0,0,4300,0,0
r,0,0,0,0,0,0,0,8000,0
s,0,0,7000,0,0,0,0,0,0
t,0,0,0,5700,0,0,0,0,0
u,0,0,0,0,0,0,0,0,12000
v,4500,0,0,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0
x,0,0,0,0,0,0,0,0,8000
y,0,0,0,0,5600,0,0,0,0
